zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
20905,12733,509001.05000000366,ZCTA5 20905,totalpopulation,18662,1245,682.2955738934734
20906,54095,1138991.140000007,ZCTA5 20906,totalpopulation,70749,1502,764.6044467059605
20910,60712,2979373.470000009,ZCTA5 20910,totalpopulation,44301,1556,1370.4431051217805
20912,38778,1936275.090000004,ZCTA5 20912,totalpopulation,26140,1050,1483.4736036725324
21001,9185,126335.17999999996,ZCTA5 21001,totalpopulation,24752,762,371.0811247575954
21005,1513,7449.8,ZCTA5 21005,totalpopulation,2872,321,526.8105849582173
21009,5538,94785.23000000004,ZCTA5 21009,totalpopulation,29905,1005,185.18642367497074
21010,1196,18019.26,ZCTA5 21010,totalpopulation,211,71,5668.246445497631
21012,11344,448162.7999999995,ZCTA5 21012,totalpopulation,21600,779,525.1851851851852
21013,1809,42460.45999999997,ZCTA5 21013,totalpopulation,4768,401,379.40436241610735
21014,9571,216782.57000000024,ZCTA5 21014,totalpopulation,36538,764,261.94646669221083
21015,7969,198034.8099999996,ZCTA5 21015,totalpopulation,29199,869,272.92030548991403
21017,1139,18434.4,ZCTA5 21017,totalpopulation,6983,782,163.11041099813832
21028,777,21243.45,ZCTA5 21028,totalpopulation,2783,305,279.195113187208
21029,5070,334097.21000000037,ZCTA5 21029,totalpopulation,10895,781,465.35107847636533
21030,9939,375350.1199999992,ZCTA5 21030,totalpopulation,24396,1167,407.40285292670933
21031,10,589.24,ZCTA5 21031,totalpopulation,0,12,Inf
21032,5033,231805.08,ZCTA5 21032,totalpopulation,8084,542,622.5878278080158
21034,608,23530.29,ZCTA5 21034,totalpopulation,3483,419,174.5621590582831
21035,6200,200449.85000000024,ZCTA5 21035,totalpopulation,7957,600,779.1881362322483
21036,1189,69995.87,ZCTA5 21036,totalpopulation,2112,274,562.9734848484849
21037,9471,376584.1499999987,ZCTA5 21037,totalpopulation,21046,917,450.01425449016443
21040,2305,33320.56,ZCTA5 21040,totalpopulation,24166,1070,95.38194157080196
21042,28455,1050627.5999999992,ZCTA5 21042,totalpopulation,41195,895,690.7391673746814
21043,20844,686790.2499999983,ZCTA5 21043,totalpopulation,47351,1092,440.2018964752593
21044,44569,1337506.6200000034,ZCTA5 21044,totalpopulation,44256,1314,1007.0724873463486
21045,30660,803755.2300000013,ZCTA5 21045,totalpopulation,40365,1171,759.568933481977
21046,11234,309389.19999999896,ZCTA5 21046,totalpopulation,15655,884,717.5982114340467
21047,2633,69101.56999999999,ZCTA5 21047,totalpopulation,12266,558,214.65840534811676
21048,2073,66157.87999999996,ZCTA5 21048,totalpopulation,10276,948,201.73219151420787
21050,3563,70752.11000000012,ZCTA5 21050,totalpopulation,18123,593,196.6010042487447
21051,461,25766.14,ZCTA5 21051,totalpopulation,295,92,1562.7118644067796
21052,16,551,ZCTA5 21052,totalpopulation,211,101,75.82938388625593
21053,776,14091.339999999998,ZCTA5 21053,totalpopulation,3225,469,240.6201550387597
21054,5833,159548.24000000028,ZCTA5 21054,totalpopulation,11199,933,520.8500758996339
21056,98,38413,ZCTA5 21056,totalpopulation,158,90,620.253164556962
21057,2464,65720.03000000001,ZCTA5 21057,totalpopulation,4232,344,582.2306238185255
21060,14209,173872.13999999993,ZCTA5 21060,totalpopulation,34899,1394,407.1463365712484
21061,10219,168692.45000000004,ZCTA5 21061,totalpopulation,53860,1486,189.73264017823988
21071,287,8471.130000000001,ZCTA5 21071,totalpopulation,581,311,493.9759036144578
21074,2983,55540.70000000002,ZCTA5 21074,totalpopulation,15166,842,196.6899643940393
21075,8984,224807.7100000003,ZCTA5 21075,totalpopulation,33726,935,266.38201980667736
21076,6352,235382.90000000017,ZCTA5 21076,totalpopulation,17442,1168,364.1784199059741
21077,85,1464.38,ZCTA5 21077,totalpopulation,276,171,307.9710144927536
21078,7808,212588.47000000055,ZCTA5 21078,totalpopulation,18366,561,425.1333986714581
21082,459,13343.93,ZCTA5 21082,totalpopulation,656,175,699.6951219512196
21084,1638,29954.660000000033,ZCTA5 21084,totalpopulation,7603,622,215.44127318163882
21085,2745,55980.65999999996,ZCTA5 21085,totalpopulation,16055,713,170.97477421364061
21087,656,20466.26,ZCTA5 21087,totalpopulation,5394,335,121.61661104931406
21090,1933,50232.64000000003,ZCTA5 21090,totalpopulation,9991,595,193.47412671404263
21093,22218,633944.1899999967,ZCTA5 21093,totalpopulation,37996,864,584.7457627118644
21102,3317,51923.16000000006,ZCTA5 21102,totalpopulation,11787,625,281.41172478153896
21104,4210,99374.20000000011,ZCTA5 21104,totalpopulation,5762,508,730.6490801804929
21105,28,267,ZCTA5 21105,totalpopulation,0,12,Inf
21108,6603,220072.7800000001,ZCTA5 21108,totalpopulation,18782,916,351.5600042593973
21111,3969,93046.8800000003,ZCTA5 21111,totalpopulation,5387,704,736.7737144978652
21113,16279,444059.96000000014,ZCTA5 21113,totalpopulation,34473,1368,472.22463957299914
21114,8848,236144.47000000044,ZCTA5 21114,totalpopulation,27303,926,324.0669523495587
21117,23052,657696.399999998,ZCTA5 21117,totalpopulation,59301,1914,388.728689229524
21120,2596,77234.65999999997,ZCTA5 21120,totalpopulation,7095,508,365.891472868217
21122,9609,221055.7499999993,ZCTA5 21122,totalpopulation,61051,1394,157.39299929567082
21128,1908,49255.929999999986,ZCTA5 21128,totalpopulation,13985,804,136.43189131212014
21130,7,225,ZCTA5 21130,totalpopulation,156,146,44.87179487179487
21131,2873,130327.89000000012,ZCTA5 21131,totalpopulation,7282,556,394.53446855259546
21132,185,6295.84,ZCTA5 21132,totalpopulation,3232,627,57.240099009900995
21133,8682,146954.52000000025,ZCTA5 21133,totalpopulation,33299,1354,260.7285504069191
21136,11483,323548.850000002,ZCTA5 21136,totalpopulation,34177,995,335.9861895426749
21140,1294,55152.62999999996,ZCTA5 21140,totalpopulation,3564,307,363.07519640852973
21144,11718,222529.8500000001,ZCTA5 21144,totalpopulation,35335,1783,331.6258667044008
21146,13148,487095.9399999995,ZCTA5 21146,totalpopulation,27555,995,477.1547813463981
