"","zip","donations","total","NAME","variable","populationtotal","moe","donation_rate_per_1000"
"267","21250",2,105.21,"ZCTA5 21250","totalpopulation",2367,465,0.844951415293621
"268","21251",50,1973.96,"ZCTA5 21251","totalpopulation",965,171,51.8134715025907
"269","21252",4,100,"ZCTA5 21252","totalpopulation",2383,534,1.67855644146034
"270","21286",3403,97379.9699999999,"ZCTA5 21286","totalpopulation",19849,844,171.444405259711
"271","21401",8690,458704.359999996,"ZCTA5 21401","totalpopulation",38315,1298,226.80412371134
"272","21402",64,1129.13,"ZCTA5 21402","totalpopulation",6669,1756,9.59664117558854
"273","21403",3952,180484.760000001,"ZCTA5 21403","totalpopulation",31377,1115,125.952130541479
"274","21405",107,3649.42,"ZCTA5 21405","totalpopulation",337,149,317.507418397626
"275","21409",4980,188649.090000001,"ZCTA5 21409","totalpopulation",19931,600,249.86202398274
"276","21502",4775,103737.060000001,"ZCTA5 21502","totalpopulation",42391,687,112.641834351631
"277","21520",98,3721.25,"ZCTA5 21520","totalpopulation",2200,422,44.5454545454545
"278","21521",33,1075.88,"ZCTA5 21521","totalpopulation",1102,170,29.94555353902
"279","21522",1,47,"ZCTA5 21522","totalpopulation",233,112,4.29184549356223
"280","21523",7,86.89,"ZCTA5 21523","totalpopulation",188,93,37.2340425531915
"281","21524",20,457.2,"ZCTA5 21524","totalpopulation",775,279,25.8064516129032
"282","21529",57,1045.86,"ZCTA5 21529","totalpopulation",434,140,131.336405529954
"283","21530",89,1889.75,"ZCTA5 21530","totalpopulation",1859,278,47.8752017213556
"284","21531",246,7033.79,"ZCTA5 21531","totalpopulation",1868,264,131.69164882227
"285","21532",2300,30815.4600000001,"ZCTA5 21532","totalpopulation",14726,502,156.18633709086
"286","21536",814,7843.59000000001,"ZCTA5 21536","totalpopulation",4123,401,197.429056512248
"287","21538",29,862.24,"ZCTA5 21538","totalpopulation",410,128,70.7317073170732
"288","21539",32,1421.75,"ZCTA5 21539","totalpopulation",2606,319,12.279355333845
"289","21540",1,21.07,"ZCTA5 21540","totalpopulation",102,53,9.80392156862745
"290","21541",216,9666.63,"ZCTA5 21541","totalpopulation",1421,285,152.005629838142
"291","21543",280,4508.58,"ZCTA5 21543","totalpopulation",276,121,1014.49275362319
"292","21545",64,1568.56,"ZCTA5 21545","totalpopulation",1740,179,36.7816091954023
"293","21550",1221,35610.6199999999,"ZCTA5 21550","totalpopulation",14077,514,86.7372309440932
"294","21555",98,2438.65,"ZCTA5 21555","totalpopulation",1586,263,61.7906683480454
"295","21557",69,1298.94,"ZCTA5 21557","totalpopulation",1410,379,48.936170212766
"296","21561",323,20203.79,"ZCTA5 21561","totalpopulation",2464,324,131.087662337662
"297","21562",73,1325.55,"ZCTA5 21562","totalpopulation",3519,354,20.7445296959363
"298","21601",3519,198588.04,"ZCTA5 21601","totalpopulation",23399,477,150.391042352237
"299","21607",10,253.65,"ZCTA5 21607","totalpopulation",737,209,13.5685210312076
"300","21610",22,612.65,"ZCTA5 21610","totalpopulation",433,126,50.8083140877598
"301","21612",40,2340.93,"ZCTA5 21612","totalpopulation",381,129,104.98687664042
"302","21613",1016,25820.1799999999,"ZCTA5 21613","totalpopulation",17132,359,59.3042260098062
"303","21617",1393,44502.8499999999,"ZCTA5 21617","totalpopulation",10570,636,131.788079470199
"304","21619",1752,53307.84,"ZCTA5 21619","totalpopulation",5964,506,293.762575452716
"305","21620",3547,57317.9300000001,"ZCTA5 21620","totalpopulation",12850,694,276.031128404669
"306","21622",47,1015.86,"ZCTA5 21622","totalpopulation",854,212,55.0351288056206
"307","21623",160,11603.93,"ZCTA5 21623","totalpopulation",1989,296,80.4424333836099
"308","21624",2,200,"ZCTA5 21624","totalpopulation",175,147,11.4285714285714
"309","21625",181,6536.09,"ZCTA5 21625","totalpopulation",2583,269,70.0735578784359
"310","21628",76,1665.3,"ZCTA5 21628","totalpopulation",448,252,169.642857142857
"311","21629",702,26028.7599999999,"ZCTA5 21629","totalpopulation",9396,418,74.7126436781609
"312","21631",106,2140.96,"ZCTA5 21631","totalpopulation",2814,440,37.6687988628287
"313","21632",385,8560.20999999999,"ZCTA5 21632","totalpopulation",6078,436,63.3432050016453
"314","21634",12,660.53,"ZCTA5 21634","totalpopulation",198,90,60.6060606060606
"315","21635",909,25782.63,"ZCTA5 21635","totalpopulation",1983,292,458.39636913767
"316","21636",140,3741.63,"ZCTA5 21636","totalpopulation",1015,279,137.931034482759
"317","21638",688,24723.96,"ZCTA5 21638","totalpopulation",5130,416,134.11306042885
"318","21639",299,4298.61,"ZCTA5 21639","totalpopulation",5279,450,56.6395150596704
"319","21640",21,870.59,"ZCTA5 21640","totalpopulation",1499,305,14.0093395597065
"320","21643",129,3421.16,"ZCTA5 21643","totalpopulation",5864,464,21.9986357435198
"321","21644",21,1489.06,"ZCTA5 21644","totalpopulation",90,52,233.333333333333
"322","21645",799,16686.72,"ZCTA5 21645","totalpopulation",1261,282,633.624107850912
"323","21647",2,1046.02,"ZCTA5 21647","totalpopulation",288,109,6.94444444444444
"324","21648",6,292.18,"ZCTA5 21648","totalpopulation",175,74,34.2857142857143
"325","21649",11,251.31,"ZCTA5 21649","totalpopulation",1935,389,5.68475452196382
"326","21650",36,743.28,"ZCTA5 21650","totalpopulation",246,138,146.341463414634
"327","21651",114,4187.79,"ZCTA5 21651","totalpopulation",2894,473,39.3918451969592
"328","21652",6,186.33,"ZCTA5 21652","totalpopulation",118,61,50.8474576271187
"329","21653",5,115.48,"ZCTA5 21653","totalpopulation",143,79,34.965034965035
"330","21654",475,35940.68,"ZCTA5 21654","totalpopulation",986,150,481.744421906694
"331","21655",911,15795.93,"ZCTA5 21655","totalpopulation",4747,348,191.910680429745
"332","21657",81,4380.89,"ZCTA5 21657","totalpopulation",910,195,89.010989010989
"333","21658",1085,46045.02,"ZCTA5 21658","totalpopulation",3987,386,272.13443691999
"334","21659",3060,58483.72,"ZCTA5 21659","totalpopulation",1356,361,2256.63716814159
"335","21660",318,8391.40999999999,"ZCTA5 21660","totalpopulation",4292,364,74.0913327120224
"336","21661",1483,30077.57,"ZCTA5 21661","totalpopulation",2487,268,596.300763972658
"337","21662",168,15801.98,"ZCTA5 21662","totalpopulation",418,105,401.913875598086
"338","21663",1221,42010.0099999999,"ZCTA5 21663","totalpopulation",3424,268,356.60046728972
"339","21664",12,606.33,"ZCTA5 21664","totalpopulation",445,107,26.9662921348315
"340","21665",55,6186.34,"ZCTA5 21665","totalpopulation",215,105,255.813953488372
"341","21666",2612,85565.1600000003,"ZCTA5 21666","totalpopulation",12836,578,203.4901838579
"342","21667",5,207,"ZCTA5 21667","totalpopulation",292,119,17.1232876712329
"343","21668",399,6508.42999999999,"ZCTA5 21668","totalpopulation",1816,296,219.713656387665
"344","21669",15,1276.7,"ZCTA5 21669","totalpopulation",254,146,59.0551181102362
"345","21671",57,2785.99,"ZCTA5 21671","totalpopulation",984,254,57.9268292682927
"346","21672",2,46.05,"ZCTA5 21672","totalpopulation",161,72,12.4223602484472
"347","21673",188,8611.57,"ZCTA5 21673","totalpopulation",3270,272,57.4923547400612
"348","21675",1,25,"ZCTA5 21675","totalpopulation",90,49,11.1111111111111
"349","21676",21,710.05,"ZCTA5 21676","totalpopulation",424,145,49.5283018867925
"350","21677",128,1134.99,"ZCTA5 21677","totalpopulation",446,121,286.995515695067
"351","21678",43,1922.59,"ZCTA5 21678","totalpopulation",1842,330,23.3441910966341
"352","21679",81,2694.71,"ZCTA5 21679","totalpopulation",289,120,280.276816608997
"353","21701",6057,114826.350000002,"ZCTA5 21701","totalpopulation",37017,1104,163.627522489667
"354","21702",5174,126991.270000002,"ZCTA5 21702","totalpopulation",41815,928,123.735501614253
"355","21703",2098,67041.95,"ZCTA5 21703","totalpopulation",37473,1143,55.9869772903157
"356","21704",1240,58343.61,"ZCTA5 21704","totalpopulation",16887,673,73.4292651151774
"357","21705",33,1493.22,"ZCTA5 21705","totalpopulation",3,8,11000
"358","21710",301,13761.38,"ZCTA5 21710","totalpopulation",4859,297,61.9469026548673
"359","21711",27,898.07,"ZCTA5 21711","totalpopulation",1076,277,25.092936802974
"360","21713",1288,40229.74,"ZCTA5 21713","totalpopulation",10728,885,120.059656972409
"361","21714",12,290.82,"ZCTA5 21714","totalpopulation",216,213,55.5555555555556
"362","21716",540,16379.82,"ZCTA5 21716","totalpopulation",5078,261,106.341079165026
"363","21717",54,1939.79,"ZCTA5 21717","totalpopulation",77,84,701.298701298701
"364","21718",6,494.52,"ZCTA5 21718","totalpopulation",151,53,39.7350993377483
"365","21719",58,2473.47,"ZCTA5 21719","totalpopulation",1002,158,57.8842315369262
"366","21722",317,9866.6,"ZCTA5 21722","totalpopulation",5748,638,55.1496172581768
"367","21723",215,3686.48,"ZCTA5 21723","totalpopulation",759,204,283.267457180501
"368","21727",756,28446.51,"ZCTA5 21727","totalpopulation",6792,357,111.3074204947
"369","21733",22,980.28,"ZCTA5 21733","totalpopulation",897,286,24.5261984392419
"370","21734",64,1267.72,"ZCTA5 21734","totalpopulation",816,191,78.4313725490196
"371","21737",149,9376.61,"ZCTA5 21737","totalpopulation",2462,591,60.5199025182778
"372","21738",1641,31309.77,"ZCTA5 21738","totalpopulation",3827,443,428.795401097465
"373","21740",41865,136944.650000002,"ZCTA5 21740","totalpopulation",61768,1290,677.77813754695
"374","21742",5487,163741.370000001,"ZCTA5 21742","totalpopulation",33483,1003,163.874204820357
"375","21746",9,552.02,"ZCTA5 21746","totalpopulation",3008,204,2.99202127659574
"376","21750",165,5061.72,"ZCTA5 21750","totalpopulation",3694,275,44.6670276123443
"377","21754",1220,39970.8,"ZCTA5 21754","totalpopulation",6667,700,182.990850457477
"378","21755",504,21364.61,"ZCTA5 21755","totalpopulation",5603,416,89.9518115295377
"379","21756",336,22238.63,"ZCTA5 21756","totalpopulation",3056,466,109.947643979058
"380","21757",196,10792.84,"ZCTA5 21757","totalpopulation",2793,262,70.1754385964912
"381","21758",1294,30557.5499999999,"ZCTA5 21758","totalpopulation",5127,529,252.3893114882
"382","21762",53,2202.48,"ZCTA5 21762","totalpopulation",202,178,262.376237623762
"383","21766",177,1711.67,"ZCTA5 21766","totalpopulation",483,153,366.459627329193
"384","21767",271,2927.97,"ZCTA5 21767","totalpopulation",650,195,416.923076923077
"385","21769",1570,39481.7,"ZCTA5 21769","totalpopulation",11629,495,135.007309312925
"386","21770",723,20556.36,"ZCTA5 21770","totalpopulation",5513,576,131.144567386178
"387","21771",6746,150894.490000003,"ZCTA5 21771","totalpopulation",29901,1078,225.611183572456
"388","21773",402,13039.27,"ZCTA5 21773","totalpopulation",5431,388,74.0195175842386
"389","21774",2844,60800.73,"ZCTA5 21774","totalpopulation",13092,348,217.231897341888
"390","21776",1147,15895.47,"ZCTA5 21776","totalpopulation",5516,435,207.94053662074
"391","21777",105,5306.59,"ZCTA5 21777","totalpopulation",1868,216,56.2098501070664
"392","21778",138,3602.84,"ZCTA5 21778","totalpopulation",909,212,151.815181518152
"393","21779",121,6273.83,"ZCTA5 21779","totalpopulation",1032,387,117.248062015504
"394","21780",106,3914.23,"ZCTA5 21780","totalpopulation",1614,279,65.6753407682776
"395","21782",271,8791.65,"ZCTA5 21782","totalpopulation",4495,482,60.2892102335929
"396","21783",718,14984.94,"ZCTA5 21783","totalpopulation",8894,486,80.7285810658871
"397","21784",6982,355008.319999996,"ZCTA5 21784","totalpopulation",37365,855,186.859360363977
"398","21787",1154,26892.23,"ZCTA5 21787","totalpopulation",10173,463,113.437530718569
"399","21788",986,20376.15,"ZCTA5 21788","totalpopulation",11910,460,82.7875734676742
"400","21791",1011,16003.32,"ZCTA5 21791","totalpopulation",5245,425,192.755004766444
"401","21793",1537,46443.08,"ZCTA5 21793","totalpopulation",10416,606,147.561443932412
"402","21794",384,21564.39,"ZCTA5 21794","totalpopulation",2277,455,168.642951251647
"403","21795",917,23988.37,"ZCTA5 21795","totalpopulation",9147,574,100.25144856237
"404","21797",2300,90915.0100000006,"ZCTA5 21797","totalpopulation",8873,759,259.213343852136
"405","21798",453,9415.33999999999,"ZCTA5 21798","totalpopulation",2057,245,220.223626640739
"406","21801",2279,50766.34,"ZCTA5 21801","totalpopulation",29866,1191,76.3075068639925
"407","21802",43,2320.96,"ZCTA5 21802","totalpopulation",90,42,477.777777777778
"408","21804",4477,63720.6000000004,"ZCTA5 21804","totalpopulation",40877,1220,109.52369303031
"409","21810",75,2913.13,"ZCTA5 21810","totalpopulation",814,552,92.1375921375921
"410","21811",3477,115303.710000001,"ZCTA5 21811","totalpopulation",24071,625,144.447675626272
"411","21813",503,11720.36,"ZCTA5 21813","totalpopulation",2672,445,188.248502994012
"412","21814",5,267.12,"ZCTA5 21814","totalpopulation",268,205,18.6567164179104
"413","21817",551,19574.95,"ZCTA5 21817","totalpopulation",4515,299,122.03765227021
"414","21821",73,5392.68,"ZCTA5 21821","totalpopulation",871,134,83.8117106773823
"415","21822",182,10207.6,"ZCTA5 21822","totalpopulation",1687,376,107.883817427386
"416","21824",8,294.93,"ZCTA5 21824","totalpopulation",101,57,79.2079207920792
"417","21826",1033,11213.05,"ZCTA5 21826","totalpopulation",5325,157,193.990610328638
"418","21829",6,113.99,"ZCTA5 21829","totalpopulation",401,123,14.9625935162095
"419","21830",231,9891.73,"ZCTA5 21830","totalpopulation",4060,667,56.8965517241379
"420","21835",19,622.25,"ZCTA5 21835","totalpopulation",337,146,56.379821958457
"421","21837",85,2525.72,"ZCTA5 21837","totalpopulation",3200,372,26.5625
"422","21838",168,2872.48,"ZCTA5 21838","totalpopulation",1657,266,101.388050694025
"423","21840",8,342.2,"ZCTA5 21840","totalpopulation",438,253,18.2648401826484
"424","21841",80,2151.88,"ZCTA5 21841","totalpopulation",1580,358,50.6329113924051
"425","21842",6872,94323.410000001,"ZCTA5 21842","totalpopulation",10655,384,644.955419990615
"426","21849",320,9043.98,"ZCTA5 21849","totalpopulation",3577,511,89.460441710931
"427","21850",98,1950.46,"ZCTA5 21850","totalpopulation",2935,515,33.3901192504259
"428","21851",1760,13319.82,"ZCTA5 21851","totalpopulation",6949,405,253.273852352857
"429","21853",189,7985.15,"ZCTA5 21853","totalpopulation",11957,668,15.8066404616543
"430","21856",116,1575.89,"ZCTA5 21856","totalpopulation",875,379,132.571428571429
"431","21861",30,750.43,"ZCTA5 21861","totalpopulation",689,148,43.5413642960813
"432","21862",7,266.86,"ZCTA5 21862","totalpopulation",90,134,77.7777777777778
"433","21863",502,14885.14,"ZCTA5 21863","totalpopulation",4657,389,107.794717629375
"434","21864",62,422.49,"ZCTA5 21864","totalpopulation",548,193,113.138686131387
"435","21865",553,5861.25999999999,"ZCTA5 21865","totalpopulation",594,281,930.976430976431
"436","21869",162,3811.92,"ZCTA5 21869","totalpopulation",1145,223,141.484716157205
"437","21871",6748,28618.6199999998,"ZCTA5 21871","totalpopulation",2198,503,3070.06369426752
"438","21872",67,1340.17,"ZCTA5 21872","totalpopulation",379,180,176.781002638522
"439","21874",289,5033.47,"ZCTA5 21874","totalpopulation",1874,347,154.215581643543
"440","21875",571,7865.31999999999,"ZCTA5 21875","totalpopulation",6676,818,85.530257639305
"441","21901",1807,37834.4,"ZCTA5 21901","totalpopulation",16790,1242,107.62358546754
"442","21903",722,9080.16999999997,"ZCTA5 21903","totalpopulation",5947,610,121.405750798722
"443","21904",429,10706.21,"ZCTA5 21904","totalpopulation",7075,700,60.6360424028269
"444","21911",2860,39679.05,"ZCTA5 21911","totalpopulation",11130,648,256.96316262354
"445","21912",116,4251.12,"ZCTA5 21912","totalpopulation",1139,378,101.843722563652
"446","21913",40,1308.5,"ZCTA5 21913","totalpopulation",880,291,45.4545454545455
"447","21914",28,1399.73,"ZCTA5 21914","totalpopulation",860,306,32.5581395348837
"448","21915",262,10522.59,"ZCTA5 21915","totalpopulation",2949,482,88.8436758223126
"449","21917",138,3712.39,"ZCTA5 21917","totalpopulation",2127,357,64.8801128349788
"450","21918",682,13136.44,"ZCTA5 21918","totalpopulation",3692,460,184.723726977248
"451","21919",193,7736.6,"ZCTA5 21919","totalpopulation",2919,412,66.118533744433
"452","21920",8,227.88,"ZCTA5 21920","totalpopulation",491,192,16.2932790224033
"453","21921",6986,117748.400000001,"ZCTA5 21921","totalpopulation",46162,1323,151.336597201161
"454","21930",1,312.3,"ZCTA5 21930","totalpopulation",132,175,7.57575757575758
