COUNTY,DEM16,REP16,GRN16,LIB16,UNAF16,OTH16,TOTAL16
ALLEGANY,14468,20997,113,241,6858,314,42991
ANNE ARUNDEL,158100,135494,806,2310,79585,791,377086
BALTIMORE CITY,306126,31956,1201,1310,44862,1416,386871
BALTIMORE CO.,306606,142767,1347,2846,88232,4342,546140
CALVERT,23552,25857,140,380,12593,389,62911
CAROLINE,6858,8766,28,113,3623,129,19517
CARROLL,32459,62991,247,762,22825,788,120072
CECIL,22364,27293,136,387,13750,566,64496
CHARLES,64110,26204,135,418,17274,463,108604
DORCHESTER,10199,7852,25,105,2905,112,21198
FREDERICK,60658,66184,411,1062,36531,262,165108
GARRETT,4443,12502,39,90,2389,146,19609
HARFORD,64011,75647,343,1143,32780,1085,175009
HOWARD,102483,57293,462,1114,44421,1842,207615
KENT,6061,4704,22,56,1956,115,12914
MONTGOMERY,381791,122053,1561,2708,143025,4100,655238
PR. GEORGE'S,450755,42915,892,1394,63091,12249,571296
QUEEN ANNE'S,10841,17333,74,207,6299,175,34929
ST. MARY'S,25780,29118,120,466,13660,403,69547
SOMERSET,6006,5073,16,39,1686,76,12896
TALBOT,9985,11658,42,135,4753,190,26763
WASHINGTON,32156,41909,235,600,18527,380,93807
WICOMICO,26029,22241,136,347,10479,435,59667
WORCESTER,14412,16223,83,215,6803,306,38042
TOTAL,2140253,1015030,8614,18448,678907,31074,3892326
